term,estimate,std.error,statistic,p.value
(Intercept),0.547908978443783,0.022651805314311223,24.188313948540717,2.630845560028267e-128
revenue,4.4742829728288346e-4,1.792229192088692e-4,2.4964904001002437,0.012547013157669247
mou,-6.50933428148591e-5,1.1715704326504804e-5,-5.5560759302875535,2.777108581464821e-8
recchrge,-7.353994578245864e-4,2.055810772362417e-4,-3.5771748436725455,3.477495935689674e-4
directas,-1.8284859000785631e-4,0.0013978346739154078,-0.13080845211521894,0.8959275135049328
overage,1.758078228664393e-4,6.273420886811223e-5,2.802423526788147,0.005074533201742955
roam,0.0011650571638747915,3.588927801689112e-4,3.2462541133495715,0.0011703338490895465
changem,-1.128693827337569e-4,1.234176572335941e-5,-9.145318851752926,6.225237358050337e-20
changer,5.14602490001509e-4,8.044951044902528e-5,6.396589452555753,1.6068807797122976e-10
dropvce,0.00250804688763449,0.0016895664495837164,1.4844322271269266,0.13770239846174376
blckvce,0.0013296098709811466,0.0016677646664853911,0.7972407005019094,0.4253161217467334
unansvce,2.124694285494758e-4,1.0491071592811739e-4,2.025240478723407,0.04284949664254407
custcare,-0.001274364629347837,5.417420221692568e-4,-2.3523459085654728,0.01866037534270146
threeway,-0.006993523590491756,0.0025302333132521003,-2.7639836823992345,0.005712727157785018
mourec,3.093442386987008e-5,3.099941140441416e-5,0.997903588113456,0.3183323233005982
outcalls,2.6925976724485905e-4,1.385831842619827e-4,1.942946892718532,0.05202978510347664
incalls,-6.559526704933099e-4,2.4337050953230054e-4,-2.695284123593663,0.007035887510387324
peakvce,-1.5075337842457726e-4,5.1364492430775455e-5,-2.9349726102667013,0.003337722404136881
opeakvce,-6.392535707294303e-5,6.203652008881933e-5,-1.0304471782333922,0.3028065471087716
dropblk,-5.624058982510248e-4,0.0016399836681052886,-0.34293384086000406,0.7316500867529215
callfwdv,-4.6878864101534756e-4,0.005573523152798592,-0.08410992978112206,0.9329694629024707
callwait,5.228800448182805e-4,7.201106668807058e-4,0.7261106783534166,0.4677752949044711
months,-0.005105427538364729,4.6843949318023295e-4,-10.898798271050998,1.280534567203181e-27
uniqsubs,0.019995536704638214,0.0029840644709255367,6.700772352427226,2.101442833287562e-11
actvsubs,-0.02993015168072031,0.005961318759100354,-5.02072660265481,5.170358300758417e-7
phones,0.011526157706230455,0.004297110246463402,2.682304396475908,0.00731477982150426
models,0.004362546800845483,0.006607962720225101,0.6601954317164901,0.5091323351307007
eqpdays,3.424777040236234e-4,1.75190296307611e-5,19.54889689907698,1.076971277921667e-84
age1,-7.963454935446524e-4,2.091874504353729e-4,-3.806851184845231,1.4096325362278908e-4
age2,-2.757738431520098e-4,1.6298052313240498e-4,-1.69206625338889,0.09064135616207102
children,0.02286718752019904,0.006751062673678417,3.387198227229538,7.06803039440634e-4
credita,-0.046521778295746316,0.008499903911243592,-5.473212259988934,4.4467574937423534e-8
creditaa,-0.09045689586664615,0.008200692479282488,-11.03039726159328,3.002988848274731e-28
prizmrur,0.01710387077514168,0.011899793394314268,1.4373250197195797,0.1506337115826707
prizmub,-0.009273476045222552,0.005852129498187783,-1.5846327474629964,0.11305793429016342
prizmtwn,0.011819664638960389,0.0075469350275768074,1.5661542859148585,0.11732064142273364
refurb,0.056138159803816104,0.007637072459607533,7.350743377220887,2.009783217753447e-13
webcap,-0.038980346585052526,0.008947711960981862,-4.356459702215882,1.3252120330829191e-5
truck,0.006733813246811174,0.008631338253369798,0.7801586554880058,0.4353022447623872
rv,0.0034944832190119584,0.011511065728686067,0.3035759938633273,0.7614525677104864
occprof,-0.004657008983389315,0.007800087026126343,-0.5970457724113452,0.5504802984165463
occcler,0.009053752985490271,0.017958353466239328,0.5041527332954442,0.6141569098821711
occcrft,-0.005593489045245452,0.015091165619267337,-0.3706465879682666,0.7109027970774272
occstud,0.02942687917135301,0.029327257781160652,1.003396887323586,0.3156756509012577
occhmkr,0.06372613659690468,0.04508738847340718,1.4133916102612762,0.1575486181697246
occret,-0.011198097513246647,0.021706454614649772,-0.5158879103955101,0.6059356323316323
occself,-0.0164812056388787,0.01926012189099531,-0.8557165802042074,0.39215984105750457
ownrent,8.192265081363857e-4,0.010237048979947205,0.08002565092158137,0.936217266843337
marryun,0.026743246521869712,0.008156895093742221,3.278606162580968,0.001044127093900243
marryyes,0.013843031486441768,0.007785447916245778,1.7780648763388065,0.07540101487838555
mailord,0.0012188289939316658,0.020473818730640983,0.05953110213423812,0.9525293994836246
mailres,-0.03218365885853459,0.02056884270110143,-1.5646801001988897,0.11766607660235766
mailflag,-0.012376627649619406,0.020295279231434992,-0.6098279067010555,0.5419793776376167
travel,-1.041397749574173e-4,0.011351397030826825,-0.00917418135182889,0.9926802120978302
pcown,0.007889517921214619,0.007431176951986684,1.0616781126582377,0.28838843450071416
creditcd,0.010118104972387042,0.01047195067848457,0.966210143939607,0.3339450487112635
retcalls,-1.0529327460185621e-4,0.04158210158400664,-0.0025321778022483173,0.997979629578637
retaccpt,-0.025842205649496623,0.02438547786208189,-1.0597375124512063,0.2892706161294641
newcelly,-0.017382567615947482,0.00653076723945786,-2.661642495988031,0.007779238692069317
newcelln,9.624525062994082e-4,0.007521482674308148,0.1279604764080558,0.8981809130039622
refer,-0.014179105325396759,0.010066143018414561,-1.4085936688419909,0.15896334985383176
incmiss,-0.02058957729102693,0.014391097014555041,-1.4307163151080695,0.1525195733887123
income,-0.0030066073578612555,0.0014464037468783087,-2.0786777995772243,0.037653517098315804
mcycle,0.029347587312188905,0.02132689359488982,1.3760835436071637,0.16880369682666005
setprcm,-0.023836172486243867,0.009635702978180538,-2.4737346657757535,0.013375134743400746
setprc,1.3951634649349035e-4,6.734701705806239e-5,2.0716039490391696,0.03830897126974344
retcall,0.18427588323130956,0.04402520011063645,4.185690985349744,2.8492444168708728e-5
